freq_GHz,a,b,D,C,p_opt1,p_opt2,sigma2_1,sigma2_2,mu
18.00,0.5000,0.5000,10000,207470721.683926,1.000000,0.000000,0.000000,0.000000,1.432002
18.00,0.5095,0.5095,10000,207470669.135992,1.000000,0.000000,0.000000,0.000000,1.432003
18.00,0.5190,0.5190,10000,207470613.584892,1.000000,0.000000,0.000000,0.000000,1.432003
18.00,0.5285,0.5285,10000,207470554.871632,1.000000,0.000000,0.000000,0.000000,1.432003
18.00,0.5380,0.5380,10000,207470492.909732,1.000000,0.000000,0.000000,0.000000,1.432003
18.00,0.5475,0.5475,10000,207470427.581575,1.000000,0.000000,0.000000,0.000000,1.432003
18.00,0.5571,0.5571,10000,207470358.751395,1.000000,0.000000,0.000000,0.000000,1.432004
18.00,0.5666,0.5666,10000,207470286.296915,1.000000,0.000000,0.000000,0.000000,1.432004
18.00,0.5761,0.5761,10000,207470210.118103,1.000000,0.000000,0.000000,0.000000,1.432004
18.00,0.5856,0.5856,10000,207470130.067180,1.000000,0.000000,0.000000,0.000000,1.432005
18.00,0.5951,0.5951,10000,207470046.008106,1.000000,0.000000,0.000000,0.000000,1.432005
18.00,0.6046,0.6046,10000,207469957.833353,1.000000,0.000000,0.000000,0.000000,1.432005
18.00,0.6141,0.6141,10000,207469865.399810,1.000000,0.000000,0.000000,0.000000,1.432005
18.00,0.6236,0.6236,10000,207469768.554259,1.000000,0.000000,0.000000,0.000000,1.432006
18.00,0.6331,0.6331,10000,207469667.193054,1.000000,0.000000,0.000000,0.000000,1.432006
18.00,0.6426,0.6426,10000,207469561.149630,1.000000,0.000000,0.000000,0.000000,1.432007
18.00,0.6522,0.6522,10000,207469450.309150,1.000000,0.000000,0.000000,0.000000,1.432007
18.00,0.6617,0.6617,10000,207469334.499850,1.000000,0.000000,0.000000,0.000000,1.432007
18.00,0.6712,0.6712,10000,207469213.592330,1.000000,0.000000,0.000000,0.000000,1.432008
18.00,0.6807,0.6807,10000,207469087.423047,1.000000,0.000000,0.000000,0.000000,1.432008
18.00,0.6902,0.6902,10000,207468955.869105,1.000000,0.000000,0.000000,0.000000,1.432009
18.00,0.6997,0.6997,10000,207468818.757447,1.000000,0.000000,0.000000,0.000000,1.432009
18.00,0.7092,0.7092,10000,207468675.937786,1.000000,0.000000,0.000000,0.000000,1.432010
18.00,0.7187,0.7187,10000,207468527.259833,1.000000,0.000000,0.000000,0.000000,1.432010
18.00,0.7282,0.7282,10000,207468372.563209,1.000000,0.000000,0.000000,0.000000,1.432011
18.00,0.7377,0.7377,10000,207468211.681947,1.000000,0.000000,0.000000,0.000000,1.432011
18.00,0.7472,0.7472,10000,207468044.473720,1.000000,0.000000,0.000000,0.000000,1.432012
18.00,0.7568,0.7568,10000,207467870.731716,1.000000,0.000000,0.000000,0.000000,1.432013
18.00,0.7663,0.7663,10000,207467690.325342,1.000000,0.000000,0.000000,0.000000,1.432013
18.00,0.7758,0.7758,10000,207467503.084374,1.000000,0.000000,0.000000,0.000000,1.432014
18.00,0.7853,0.7853,10000,207467308.844774,1.000000,0.000000,0.000000,0.000000,1.432015
18.00,0.7948,0.7948,10000,207467107.383212,1.000000,0.000000,0.000000,0.000000,1.432015
18.00,0.8043,0.8043,10000,207466898.585631,1.000000,0.000000,0.000000,0.000000,1.432016
18.00,0.8138,0.8138,10000,207466682.239535,1.000000,0.000000,0.000000,0.000000,1.432017
18.00,0.8233,0.8233,10000,207466458.174543,1.000000,0.000000,0.000000,0.000000,1.432018
18.00,0.8328,0.8328,10000,207466226.208504,1.000000,0.000000,0.000000,0.000000,1.432018
18.00,0.8423,0.8423,10000,207465986.168804,1.000000,0.000000,0.000000,0.000000,1.432019
18.00,0.8519,0.8519,10000,207465737.856895,1.000000,0.000000,0.000000,0.000000,1.432020
18.00,0.8614,0.8614,10000,207465481.080922,1.000000,0.000000,0.000000,0.000000,1.432021
18.00,0.8709,0.8709,10000,207465215.657693,1.000000,0.000000,0.000000,0.000000,1.432022
18.00,0.8804,0.8804,10000,207464941.393993,1.000000,0.000000,0.000000,0.000000,1.432023
18.00,0.8899,0.8899,10000,207464658.109157,1.000000,0.000000,0.000000,0.000000,1.432024
18.00,0.8994,0.8994,10000,207464365.583140,1.000000,0.000000,0.000000,0.000000,1.432025
18.00,0.9089,0.9089,10000,207464063.644836,1.000000,0.000000,0.000000,0.000000,1.432026
18.00,0.9184,0.9184,10000,207463752.081597,1.000000,0.000000,0.000000,0.000000,1.432027
18.00,0.9279,0.9279,10000,207463430.667821,1.000000,0.000000,0.000000,0.000000,1.432028
18.00,0.9374,0.9374,10000,207463099.222866,1.000000,0.000000,0.000000,0.000000,1.432030
18.00,0.9469,0.9469,10000,207462757.555823,1.000000,0.000000,0.000000,0.000000,1.432031
18.00,0.9565,0.9565,10000,207462405.417352,1.000000,0.000000,0.000000,0.000000,1.432032
18.00,0.9660,0.9660,10000,207462042.637352,1.000000,0.000000,0.000000,0.000000,1.432033
